方名,规范名,经典,出处,功用大类,功用小类,处方,炮制,功用,主治,方解,禁忌,化裁,附方,附注,文献,运用,用法用量,备注,ID
,,,,,,,,,,,,,,,,,,,https://db.yaozh.com/fangji/10001000.html
2号养胃汤,,,封菊秋方,,,姜夏15克，枳实15克，陈皮15克，茯苓20克，竹茹20克，生姜20克，甘草10克，红人参15克。,,,健脾和胃，益气养阴。主治脾胃气虚，元气不足。（乳腺癌化疗反应）,,,,,,,,,,https://db.yaozh.com/fangji/10001001.html
阿艾丸,,,《医统》卷八十四,,,白姜（盐、酒或米醋炒）8钱，香附子（童便浸，炒）1两，玄胡索（炒）8钱，真阿胶（炒成珠）1两，艾叶1两（制成炙艾，用糯米糊作饼，瓦上炕干，勿令焦，研为细末）。,上为末，酒糊为丸，如梧桐子大。,,血崩，老妇尤效。,,,,,,,,,,https://db.yaozh.com/fangji/10001002.html
阿艾五苓散,,,《嵩崖尊生》卷八,,,五苓散加阿胶1钱，川芎1钱，炙草1钱，当归3钱，艾叶3钱，白芍4分，熟地4分。,,,尿血，其人素好色，属虚者。,,,,,,,,,,https://db.yaozh.com/fangji/10001003.html
阿菜汤,,,《饮膳正要》卷一,,,羊肉1脚子（卸成事件），草果5个，良姜2钱。,,,补中益气。,,,,,,,,,,https://db.yaozh.com/fangji/10001004.html
阿芙蓉酒,,,《饲鹤亭集方》,,,滴花烧酒1盏，潮脑7钱，阿片烟膏。,,,跌扑内损，风湿走注，支节酸疼，闪腰挫气诸般形体之症。,,,,,,,,,,https://db.yaozh.com/fangji/10001005.html
阿胶白术散,,,《鸡峰》卷十五,,,白术1两半，白茯苓1两，白芍药1两，当归1两，熟地黄1两，人参1两，白芷1两，阿胶1两，芎1两，甘草3分。,上为细末。,,滋养胎气，调顺荣卫。,,,,,,,,,,https://db.yaozh.com/fangji/10001006.html
阿胶鳖甲汤,,,《温热经解》,,,生鳖甲5钱，阿胶1钱，白芍1钱，炙草1钱，小草8分，淡菜2枚，西洋参1钱。,,,血虚不足养肝，致动肝风者。,,,,,,,,,,https://db.yaozh.com/fangji/10001007.html
阿胶丹,,,《幼幼新书》卷二十八引张涣方,,,真阿胶（炙熟）1两，干姜1两，芍药半两，当归（洗，焙干）半两，川黄连半两，肉豆蔻半两。,上为细末，炼蜜为丸，如黍米大。,,小儿泄利身热，及暴泻注下。,,,,,,,,,,https://db.yaozh.com/fangji/10001008.html
阿胶地黄汤,,,方出《圣惠》卷三十七，名见《普济方》卷一九O,,,生干地黄4两，阿胶2两（捣碎，炒令黄燥），蒲黄2两。,上为散。,,热伤肺脏，唾血不止。,,,,,,,,,,https://db.yaozh.com/fangji/10001009.html
阿胶地黄汤,,,《太平圣惠方》卷三十七,,,生干地黄120克，阿胶60克（捣碎，炒令黄燥），蒲黄60克。,,,热伤肺脏，唾血不止。,,,,,,,,,,https://db.yaozh.com/fangji/10001010.html
阿胶地黄丸,,,《冯氏锦囊?杂症》卷十一,,,熟地膏（用熟地1斤，将8两煮汁，去滓，入8两汁内，煮烂成膏）、牡丹皮3两（焙），山茱萸4两（去核，酒拌蒸，晒干，炒），白茯苓3两（人乳拌透，晒干，焙），怀山药4两（炒黄），泽泻2两（淡盐水拌炒），麦门冬（去心）4两（炒），真阿胶3两（切块，蛤粉拌炒成珠）。,上为末，用熟地膏入药，炼蜜为丸。,,金水两脏受伤，咳嗽吐血。,,,,,,,,,,https://db.yaozh.com/fangji/10001011.html
