补阴丹,,,《博济》卷二,,,朱砂（去石）半两，硇砂（去石）半两，延胡素半两，木香半两，半夏（汤浸7遍）半两，芫花（醋浸，炒黄色）半两，斑猫（去翅足，酒浸后炒令焦黑止）半两，川苦楝子（醋浸，炒黄）1两，荆三棱1两，海蛤1两，蓬莪术1两，大附子（炮，去皮脐）1两，舶上茴香1两，青皮1两，肉豆蔻3枚，槟榔3枚。,上为细末，酒煮面糊为丸，如梧桐子大。,,大健脾元。主治小肠气，膀胱气刺疼痛；妇人产后恶物不尽，变作血瘕者。,,,,,,,,本方方名，《普济方》引作“补阴丸”。,,https://db.yaozh.com/fangji/10006001.html
不孕方,不孕症,,韩百灵方,,,龟板25克，鳖甲25克，枸杞子25克，白芍25克，熟地25克，人参15克，白术15克，当归15克，茯苓15克，五味子15克，远志10克，甘草10克。,,,育阴生血。主气虚血虚。,,,,,,,,水煎服，每日1剂，日服3次。,,https://db.yaozh.com/fangji/10006189.html
参苓饮,参苓散,,《三因》卷十三,,,茯苓3两，人参3两，白术3两，枳实（麸炒，去瓤）2两，橘皮1两半。,上锉散。,,胸中停痰宿水，自吹出痰后，心胸间虚，气满不能食。,,,,,,,,每服4大钱，水2盏，加生姜3片，煎7分，去滓，空腹温服。,,https://db.yaozh.com/fangji/10006377.html
蚕豆花露,,,《中药成方配本》,,,蚕豆花1斤。,用蒸气蒸馏法，鲜者每斤吊成露2斤，干者每斤吊成露4斤。,,清热止血。主治鼻血，吐血。,,,,,,,,每用4两，隔水温服。,,https://db.yaozh.com/fangji/10006565.html
补阴丹,补阴丸,,《杨氏家藏方》卷十五,,,熟干地黄（洗，焙）7两半，生干地黄7两半，白术5两，苍术5两（米泔浸1宿），藁本（去土）10两，牡丹皮10两，当归（洗，焙）10两，秦艽10两，细辛（去叶土）7两，蚕退纸（烧灰留性）7两，肉桂（去粗皮）8两，甘草（炙）6两半，大豆黄卷（焙干称，炒烟出）6两半，枳壳（麸炒，去瓤）6两，陈橘皮（去白）6两，羌活（去芦头）5两，香白芷5两，干姜（炮）5两，糯米3升（炒黑色，炒烟出），白茯苓（去皮）2两。,上为细末，炼蜜为丸，每1两作10丸。,,润肌体，悦颜色，调荣卫，逐风寒，进饮食。主治妇人百疾，或经候不匀，或崩漏不止，腰腿沉重，脐腹作痛，潮热往来，虚烦自汗，中满气短，呕哕不时，肢体酸疼，不思饮食，日渐瘦弱。,,,,,,,,补阴丸（《女科百问》卷上）。,,https://db.yaozh.com/fangji/10006002.html
不再散,,,《朱氏集验方》卷二,,,黄丹1两，百草霜3两。,上为末。,,久疟。,,,,,,,,新汲水五更服，用水不多。,,https://db.yaozh.com/fangji/10006190.html
参苓饮子,,,《普济方》卷二二八,,,人参1两，莲肉1两，甘草1两，白茯苓半两，茯神半两，白术半两，香附子1两（炒去毛）。,上药共为粗末。,,脾弱，虚劳发热，心神不宁。,,,,,,,,上为饮子。每服3钱，水1盏，加生姜3片，大枣1个，同煎至7分，去滓服，不拘时候。最治小儿，量大小加减服。,,https://db.yaozh.com/fangji/10006378.html
蚕蛾散,,,《圣济总录》卷一六一,,,原蚕蛾（炒）1两，陈曲1两，桂（去粗皮）1分，麝香（别研）1钱，肉苁蓉（酒浸，切，焙）2两，防风（去叉）2两，巴戟天（去心）2两，白芍药2两，丹砂（别研）半两，生干地黄（焙）半两，白芋半两，白芷半两。,上为散。,,产后中风、偏风，声音不利，或只发热昏冒，筋脉挛急。,,,,,,,,每服1钱匕，生姜、薄荷酒调下，不拘时候。,,https://db.yaozh.com/fangji/10006566.html
不醉丹,,,《济阳纲目》卷十一,,,白葛花、天门冬、白茯苓、牡丹蕊、小豆花、缩砂仁、葛根、官桂、甘草、海盐、木香、泽泻、人参、陈皮、枸杞。,上为细末，炼蜜为丸，如弹子大。,,令人不醉。,,,,,,,,每服1丸，细嚼，热酒送下。,,https://db.yaozh.com/fangji/10006191.html
补阴丹,,,《御药院方》卷六,,,磁石（紧者，烧赤，醋淬7次，水飞过，晒干称）3两，鹿茸3两（去毛，酥炙），生干地黄8两，石斛3两，泽泻3两，官桂1两半（去粗皮），杜仲2两（细切，炒去丝），山茱萸3两（生用）。,上为细末，入磁石末同研匀，炼蜜为丸，如梧桐子大。,,滋益肾水真阴，镇伏心火大热，坚强骨髓，补养精气，通调血脉，润泽肌肤，交泰心肾。主治发热怔忪，脚膝痹弱。,,,,,,,,每服50丸，空心、食前温酒送下，或盐汤送下亦得，日进1服。服2月觉功，100日见效。,,https://db.yaozh.com/fangji/10006003.html
参苓愈带汤,,,《顾氏医径》卷四,,,人参、云苓、白术、山药、白芍、车前、柴胡、苍术、甘草、陈皮、黑荆芥。,,,白带。,,,,,,,,,,https://db.yaozh.com/fangji/10006379.html
蚕蛾散,,,《救伤秘旨》,,,晚蚕蛾、白芷、当归头、陈石灰各等分。,上为细末。,,止血，定痛，生肌。主治刀斧伤。,,,,,,,,敷。,,https://db.yaozh.com/fangji/10006567.html
补阴丹,,,《施圆端效方》引贾彦通方。（见《医方类聚》卷二一二）,,,熟地黄（焙）2两，生地黄（焙）2两，乌梅肉（焙）2两，川芎3钱。,上为细末，炼蜜为丸，如弹子大。,,妇人血气俱虚，四肢困热，骨节烦疼。,,,,,,,,,,https://db.yaozh.com/fangji/10006004.html
参苓造化糕,,,《医学入门》卷三,,,人参4两，白茯苓4两，白术3两，莲肉3两，山药3两，芡实3两。,上为末，瓷瓶收贮。,,内伤脾胃。,,,,,,,,上为末，用粳米粉1斗，砂糖调匀，如法蒸糕食之。,,https://db.yaozh.com/fangji/10006380.html
不醉方,,,《济阳纲目》卷十一,,,绿豆、小豆、葛根各等分。,上为末。,,令人不醉。,,,,,,,,当未饮酒之前，用冷水调1匙或2匙服之。,,https://db.yaozh.com/fangji/10006192.html
蚕矾散,,,《普济方》卷三OO,,,出蛾儿蚕茧、细矾。,上用出蛾儿蚕茧装细矾，炭火上烧沸，候过，将茧并矾研细。,,脚裂。,,,,,,,,香油调敷。,,https://db.yaozh.com/fangji/10006568.html
补阴济阳汤,,,《点点经》卷二,,,当归1钱，侧柏叶2钱，荆芥1钱半，栀仁1钱半，蒲黄（炒黑）1钱半，天冬1钱半，腹皮1钱半，香附1钱半，麦冬1钱半，元参8分，炮姜8分。,,,酒毒伤血，湿热伏阳，血从齿缝流出，发尖滴血等症。,,,,,,,,以上俱炒黑，加肉桂6分，甘草4分，同煎服。要看身强身弱，如太旺不宜服，脱症亦不宜服。如脉缓三至，手足逆冷，服之神效。,,https://db.yaozh.com/fangji/10006005.html
布袋丸,,,《补要袖珍小儿方论》,,,夜明砂、芜荑、使君子各60克，白茯苓、白术、人参、甘草、芦荟各15克。,上为细末，汤浸蒸饼和丸，如弹子大。,,驱蛔消疳，补养脾气。主治小儿疳疾，体热面黄，肢瘦腹大，发焦目暗。,,,,,,,,每服1丸，以生绢袋盛之；次用精猪肉60克，同药一处煮，候肉熟烂，去袋，将所煮肉并汁令小儿食之。,方中使君子、芜荑、芦荟、夜明砂驱蛔消疳；人参、白术、茯苓、甘草、精猪肉补中益脾，使杀虫之功寓于补养脾气之中，庶疳消而正不伤。,https://db.yaozh.com/fangji/10006193.html
参苓粥,,,《圣济总录》卷一八八,,,人参（锉）1两，白茯苓（去黑皮、锉）半两，粳米（净洗）2合，生姜（切）2钱。,,,益气补虚，健脾养胃。主治伤寒胃气不和，全不思食，日渐虚羸。气虚体弱，脾胃不足，倦怠无力，面色(白光)白，饮食减少，食欲不振，反胃呕吐，大便稀薄。,,湿热忌用。,,,,,,上4味，先将人参、茯苓、生姜，用水3升，煎至1升，去滓，下米煮作粥。临熟时下鸡子白1枚及盐少许，搅令匀，空心食之。,,https://db.yaozh.com/fangji/10006381.html
